"","genotype","DAP","variable","DAP.diffs","variable.AGR","variable.RGR","variable.smooth","variable.AGR.smooth","variable.RGR.smooth","Digital.biomass","col","row","line","rep"
"2356","S038",43,36504800,1,2288600,0.0647445426653578,34528501.4405654,876835.770320651,0.0266170562976113,36504800,6,3,"S038",NA
"2357","S038",44,34945600,1,-1559200,-0.0436511921714835,35355908.2550355,477309.131233699,0.0143168849023935,34945600,6,3,"S038",NA
"2358","S038",45,35230100,1,284500,0.00810826421903137,36096439.8744005,65329.2218754981,0.00168180702731105,35230100,6,3,"S038",NA
"2359","S039",10,338789,NA,NA,NA,434189.556917683,NA,NA,338789,6,4,"S039",NA
"2360","S039",11,1392230,1,1053441,1.41328456241212,880742.519601941,538643.608287405,0.854900662554895,1392230,6,4,"S039",NA
"2361","S039",12,1886440,1,494210,0.303784676838345,1326335.87297289,487098.619081285,0.605171303635274,1886440,6,4,"S039",NA
"2362","S039",13,1784000,1,-102440,-0.0558334208288588,1810398.94746063,489294.627059746,0.408378177062198,1784000,6,4,"S039",NA
"2363","S039",14,2399980,1,615980,0.296602369828027,2414605.95434618,589215.60860843,0.288467529523404,2399980,6,4,"S039",NA
"2364","S039",15,3013670,1,613690,0.227698201173001,3227427.44920953,790303.89894021,0.232040313489539,3013670,6,4,"S039",NA
"2365","S039",16,3855210,1,841540,0.246266875080926,4332713.52773914,1084551.1888412,0.218145629427729,3855210,6,4,"S039",NA
"2366","S039",17,4778050,1,922840,0.214607033238645,5793445.25425817,1447927.29011317,0.226158862316901,4778050,6,4,"S039",NA
"2367","S039",18,7397630,1,2619580,0.437127165163962,7623978.33493704,1827355.23394171,0.237134630148268,7397630,6,4,"S039",NA
"2368","S039",19,11089000,1,3691370,0.404793947328701,9764798.37780092,2142776.54453139,0.235276501184499,11089000,6,4,"S039",NA
"2369","S039",20,9971610,1,-1117390,-0.106211570581183,12147124.5158257,2386927.39104408,0.22142511800732,3751530,6,4,"S039",NA
"2370","S039",20,9971610,1,-1117390,-0.106211570581183,12147124.5158257,2386927.39104408,0.22142511800732,13086400,6,4,"S039",NA
"2371","S039",20,9971610,1,-1117390,-0.106211570581183,12147124.5158257,2386927.39104408,0.22142511800732,13076900,6,4,"S039",NA
"2372","S039",21,14969100,1,4997490,0.406246020993866,14747183.0265537,2613194.76900751,0.205992142478819,14969100,6,4,"S039",NA
"2373","S039",22,17841900,1,2872800,0.175561547339293,17430152.7996811,2699531.38341493,0.183022765929805,17841900,6,4,"S039",NA
"2374","S039",23,20800600,1,2958700,0.153432208722022,20047708.4082401,2631903.4800543,0.154675601397431,20800600,6,4,"S039",NA
"2375","S039",24,21344500,1,543900,0.0258122628008641,22492137.975233,2455287.00987623,0.126038305548854,21344500,6,4,"S039",NA
"2376","S039",25,26471400,1,5126900,0.215270809658663,24691055.5652615,2207261.10609632,0.100246559589795,26471400,6,4,"S039",NA
"2377","S039",26,26059500,1,-411900,-0.0156825198846766,26540051.9507819,1848794.96035638,0.075440959279624,26059500,6,4,"S039",NA
"2378","S039",27,29721400,1,3661900,0.13148494004587,28019983.057194,1471510.36690115,0.0544419304251729,29721400,6,4,"S039",NA
"2379","S039",28,28834600,1,-886800,-0.0302912701251569,29135728.1607384,1098425.40935526,0.0370637240789291,28834600,6,4,"S039",NA
"2380","S039",29,30094500,1,1259900,0.0427663758655883,29985623.9433577,831245.140282683,0.0257299947628585,30094500,6,4,"S039",NA
"2381","S039",30,29293000,1,-801500,-0.0269938511760626,30677317.0934345,679063.528198674,0.0198127078460742,29293000,6,4,"S039",NA
"2382","S039",31,31008700,1,1715700,0.056919230642784,31299148.7158628,620727.047173999,0.0178902143233367,31008700,6,4,"S039",NA
"2383","S039",32,31397400,1,388700,0.012457276665167,31850779.7194379,558570.688719608,0.0162588444055386,31397400,6,4,"S039",NA
"2384","S039",33,33999400,1,2602000,0.0796177904635098,32285440.2575315,442443.640016809,0.0130509124090718,33999400,6,4,"S039",NA
"2385","S039",34,32440300,1,-1559100,-0.0469414003550054,32550245.7515647,266769.577078277,0.00796384453369177,32440300,6,4,"S039",NA
"2386","S039",35,31984600,1,-455700,-0.0141469400848421,32689923.0291329,141498.05079927,0.00430476492271675,31984600,6,4,"S039",NA
"2387","S039",36,33223400,1,1238800,0.0379999099693149,32757973.7478747,76737.8040405924,0.00239815480247072,33223400,6,4,"S039",NA
"2388","S039",37,33078400,1,-145000,-0.00437394553906549,32769642.9379373,29589.5923333969,0.000951597933079708,33078400,6,4,"S039",NA
"2389","S039",38,32906700,1,-171700,-0.00520421693760934,32762915.6854895,24552.7801071985,0.00073525876952753,32906700,6,4,"S039",NA
"2390","S039",39,32027600,1,-879100,-0.0270782533940829,32804349.3306018,90723.5301409296,0.00266301812113309,32027600,6,4,"S039",NA
"2391","S039",40,32232400,1,204800,0.00637412677900801,32962184.6501152,223731.659080865,0.00662843655920365,32232400,6,4,"S039",NA
"2392","S039",41,32937800,1,705400,0.0216487765801503,33247418.2211582,348071.481781346,0.0103506045484838,32937800,6,4,"S039",NA
"2393","S039",42,33454200,1,516400,0.0155564048107946,33608979.3111466,376310.569375821,0.0112114274951708,33454200,6,4,"S039",NA
"2394","S039",43,35373500,1,1919300,0.0557856130072318,33962914.0973324,247951.613932847,0.00744895883404968,35373500,6,4,"S039",NA
"2395","S039",44,34718900,1,-654600,-0.0186787449749076,34232690.0461809,-52620.9301181894,-0.00136363514775036,34718900,6,4,"S039",NA
"2396","S039",45,33621300,1,-1097600,-0.0321244125698656,34434401.2070889,-432857.268454846,-0.012518242240566,33621300,6,4,"S039",NA
"2397","S040",10,376445,NA,NA,NA,307680.105106248,NA,NA,376445,6,5,"S040",NA
"2398","S040",11,922965,1,546520,0.896819359725658,775423.591135813,426230.247927483,0.692447057263066,922965,6,5,"S040",NA
"2399","S040",12,1904910,1,981945,0.724598728393051,1251840.41052862,450923.632589084,0.527671960839621,1904910,6,5,"S040",NA
"2400","S040",13,1608340,1,-296570,-0.16923217217617,1764853.69467098,497345.01588487,0.38759445946116,1608340,6,5,"S040",NA
"2401","S040",14,2215730,1,607390,0.320379329114597,2382759.43509362,610377.251118252,0.300953048812433,2215730,6,5,"S040",NA
"2402","S040",15,2247340,1,31610,0.0141653743115827,3171659.56110033,788869.712775033,0.261532062151714,2247340,6,5,"S040",NA
"2403","S040",16,3989590,1,1742250,0.573941174111541,4170583.43578479,1004591.61512627,0.250534215066696,3989590,6,5,"S040",NA
"2404","S040",17,6098690,1,2109100,0.424385525288251,5355841.56731667,1189406.24736554,0.237908216742012,6098690,6,5,"S040",NA
"2405","S040",18,7620060,1,1521370,0.222710249665362,6689711.19233945,1329261.92302068,0.215026356718113,7620060,6,5,"S040",NA
"2406","S040",19,8393670,1,773610,0.0966936066597202,8192136.48784507,1490137.56562148,0.191957848667898,8393670,6,5,"S040",NA
"2407","S040",20,7920470,1,-473200,-0.0580273028430973,9955375.05313541,1754884.1796869,0.180886161442417,4248770,6,5,"S040",NA
"2408","S040",20,7920470,1,-473200,-0.0580273028430973,9955375.05313541,1754884.1796869,0.180886161442417,9866120,6,5,"S040",NA
"2409","S040",20,7920470,1,-473200,-0.0580273028430973,9955375.05313541,1754884.1796869,0.180886161442417,9646520,6,5,"S040",NA
"2410","S040",21,9947830,1,2027360,0.227903889433133,12067107.9522148,2121279.18801541,0.183367594940809,9947830,6,5,"S040",NA
"2411","S040",22,14687000,1,4739170,0.389608311838666,14459134.6869041,2418196.80079147,0.183473952035251,14687000,6,5,"S040",NA
"2412","S040",23,18935200,1,4248200,0.254059874976739,16903851.0207846,2469592.61221412,0.167804666240834,18935200,6,5,"S040",NA
"2413","S040",24,21723600,1,2788400,0.137376603439297,19186428.3129321,2289927.14974477,0.139552378433773,21723600,6,5,"S040",NA
"2414","S040",25,19130500,1,-2593100,-0.127115307119506,21260799.2011,2066127.08293534,0.111438278725381,19130500,6,5,"S040",NA
"2415","S040",26,21994900,1,2864400,0.139526688234254,23236753.5777715,1969861.6316922,0.093393918189517,21994900,6,5,"S040",NA
"2416","S040",27,27653600,1,5658700,0.2289453101057,25111961.2502625,1873093.07361057,0.0795316922611566,27653600,6,5,"S040",NA
"2417","S040",28,24633800,1,-3019800,-0.115636434781987,26813416.5652437,1694823.69629467,0.065626181517293,24633800,6,5,"S040",NA
"2418","S040",29,31096300,1,6462500,0.232969357420255,28372877.1160353,1550995.4241061,0.0554959745764056,31096300,6,5,"S040",NA
"2419","S040",30,29328700,1,-1767600,-0.0585222822579679,29768299.0961441,1380528.89961361,0.046023989619243,29328700,6,5,"S040",NA
"2420","S040",31,29664300,1,335600,0.011377743812405,31106082.6232123,1327504.80130299,0.0414770880787729,29664300,6,5,"S040",NA
"2421","S040",32,30414800,1,750500,0.0249850294473561,32485174.2414778,1385095.82977309,0.041408735506686,30414800,6,5,"S040",NA
"2422","S040",33,34180500,1,3765700,0.116725973969863,33876275.1541917,1412000.63885236,0.0411846677766106,34180500,6,5,"S040",NA
"2423","S040",34,39580600,1,5400100,0.146683793212686,35104067.7978405,1246402.13080548,0.035816328849315,39580600,6,5,"S040",NA
"2424","S040",35,31793400,1,-7787200,-0.219080378155394,36049309.0264518,951041.687752905,0.0272017966035057,31793400,6,5,"S040",NA
"2425","S040",36,38977300,1,7183900,0.203720704314564,36809347.4103649,766758.050748509,0.0219870883786325,38977300,6,5,"S040",NA
"2426","S040",37,38793800,1,-183500,-0.00471898534358614,37320260.4992382,510167.548218068,0.0147693960952073,38793800,6,5,"S040",NA
"2427","S040",38,37597900,1,-1195900,-0.0313122422741127,37609590.0365936,280511.828681192,0.00817310469993607,37597900,6,5,"S040",NA
"2428","S040",39,37388700,1,-209200,-0.00557967804243218,37829624.021428,214411.957187949,0.00593235628934605,37388700,6,5,"S040",NA
"2429","S040",40,35927100,1,-1461600,-0.0398766343583807,38147891.1644999,326515.498134746,0.00849982011134439,35927100,6,5,"S040",NA
"2430","S040",41,37883100,1,1956000,0.053013216979108,38670050.9744317,545471.989435946,0.0140058979417287,37883100,6,5,"S040",NA
